Team,Payroll,Payroll_Adj,Year
Sacramento,"$48,950,236","$64,258,210",2011
LA Lakers,"$100,131,988","$129,294,344",2012
Brooklyn,"$87,644,649","$113,170,204",2012
Miami,"$80,427,933","$103,851,696",2012
New York,"$79,977,119","$103,269,586",2012
Boston,"$75,508,399","$97,499,399",2012
Chicago,"$74,491,280","$96,186,057",2012
Golden State,"$70,036,985","$90,434,497",2012
San Antonio,"$69,838,600","$90,178,333",2012
Dallas,"$69,766,571","$90,085,322",2012
LA Clippers,"$69,152,721","$89,292,698",2012
Oklahoma City,"$68,924,100","$88,997,496",2012
Detroit,"$68,807,497","$88,846,933",2012
Atlanta,"$66,710,178","$86,138,791",2012
Philadelphia,"$66,697,839","$86,122,858",2012
Orlando,"$66,557,496","$85,941,642",2012
Indiana,"$66,107,195","$85,360,196",2012
Utah,"$65,657,569","$84,779,621",2012
Minnesota,"$64,329,748","$83,065,086",2012
New Orleans,"$64,134,537","$82,813,025",2012
Toronto,"$63,708,138","$82,262,440",2012
Denver,"$63,444,254","$81,921,705",2012
Memphis,"$63,054,115","$81,417,939",2012
Milwaukee,"$62,410,041","$80,586,287",2012
Washington,"$59,715,539","$77,107,038",2012
Portland,"$59,442,596","$76,754,605",2012
Charlotte,"$58,122,566","$75,050,130",2012
Cleveland,"$54,472,190","$70,336,619",2012
Sacramento,"$54,421,935","$70,271,732",2012
Phoenix,"$54,196,264","$69,980,337",2012
Houston,"$48,048,265","$62,041,797",2012
Brooklyn,"$102,589,967","$130,184,212",2013
New York,"$89,072,787","$113,031,231",2013
Miami,"$80,841,617","$102,586,074",2013
LA Lakers,"$77,423,614","$98,248,706",2013
Dallas,"$75,012,158","$95,188,628",2013
Chicago,"$73,336,893","$93,062,756",2013
LA Clippers,"$73,049,774","$92,698,411",2013
Golden State,"$72,503,122","$92,004,723",2013
Memphis,"$71,992,885","$91,357,243",2013
Oklahoma City,"$71,653,401","$90,926,444",2013
Toronto,"$71,561,643","$90,810,007",2013
Boston,"$70,885,503","$89,952,004",2013
Minnesota,"$68,564,040","$87,006,120",2013
New Orleans,"$67,358,651","$85,476,509",2013
Indiana,"$67,182,414","$85,252,870",2013
Cleveland,"$66,654,061","$84,582,401",2013
Denver,"$65,782,065","$83,475,862",2013
Washington,"$64,698,822","$82,101,251",2013
San Antonio,"$63,115,911","$80,092,576",2013
Detroit,"$62,387,432","$79,168,155",2013
Portland,"$61,260,350","$77,737,913",2013
Charlotte,"$60,395,651","$76,640,630",2013
Sacramento,"$59,174,155","$75,090,582",2013
Atlanta,"$58,998,677","$74,867,903",2013
Houston,"$57,823,063","$73,376,078",2013
Orlando,"$56,948,031","$72,265,682",2013
Utah,"$56,911,999","$72,219,960",2013
Phoenix,"$55,569,468","$70,516,321",2013
Milwaukee,"$54,400,846","$69,033,363",2013
Philadelphia,"$51,741,312","$65,658,478",2013
Brooklyn,"$87,817,289","$109,175,545",2014
LA Clippers,"$85,259,447","$105,995,602",2014
Dallas,"$84,820,225","$105,449,557",2014
Cleveland,"$82,592,827","$102,680,427",2014
New York,"$81,369,219","$101,159,224",2014
Toronto,"$81,317,963","$101,095,502",2014
Oklahoma City,"$80,408,520","$99,964,871",2014
New Orleans,"$80,012,866","$99,472,985",2014
LA Lakers,"$77,546,500","$96,406,770",2014
Houston,"$76,849,302","$95,540,004",2014
Miami,"$75,813,041","$94,251,712",2014
Memphis,"$75,158,730","$93,438,263",2014
Indiana,"$74,793,526","$92,984,242",2014
Golden State,"$73,611,166","$91,514,313",2014
Sacramento,"$73,379,071","$91,225,769",2014
Washington,"$73,372,974","$91,218,191",2014
San Antonio,"$70,770,209","$87,982,400",2014
Portland,"$69,936,842","$86,946,352",2014
Minnesota,"$69,378,954","$86,252,775",2014
Chicago,"$67,414,682","$83,810,770",2014
Detroit,"$67,410,675","$83,805,787",2014
Charlotte,"$66,792,937","$83,037,806",2014
Boston,"$62,218,516","$77,350,827",2014
Utah,"$60,847,538","$75,646,410",2014
Orlando,"$59,629,210","$74,131,770",2014
Atlanta,"$58,320,278","$72,504,493",2014
Phoenix,"$58,018,672","$72,129,532",2014
Denver,"$56,820,307","$70,639,707",2014
Milwaukee,"$54,473,275","$67,721,849",2014
Philadelphia,"$54,355,571","$67,575,510",2014
Cleveland,"$108,300,458","$134,474,038",2015
LA Clippers,"$97,019,321","$120,466,523",2015
Oklahoma City,"$95,708,387","$118,838,769",2015
Golden State,"$93,669,566","$116,307,216",2015
San Antonio,"$87,832,839","$109,059,892",2015
Houston,"$87,504,058","$108,651,651",2015
Chicago,"$87,073,838","$108,117,461",2015
Miami,"$85,764,781","$106,492,035",2015
Washington,"$85,055,155","$105,610,907",2015
New Orleans,"$83,709,371","$103,939,877",2015
Memphis,"$83,223,881","$103,337,057",2015
Brooklyn,"$80,258,302","$99,654,772",2015
Detroit,"$77,256,014","$95,926,904",2015
Boston,"$77,141,919","$95,785,236",2015
Charlotte,"$76,860,006","$95,435,193",2015
Dallas,"$75,397,067","$93,618,697",2015
New York,"$74,237,021","$92,178,295",2015
Milwaukee,"$73,843,541","$91,689,719",2015
LA Lakers,"$72,694,352","$90,262,802",2015
Denver,"$72,589,023","$90,132,013",2015
Minnesota,"$72,287,243","$89,757,304",2015
Atlanta,"$71,661,760","$88,980,657",2015
Indiana,"$71,605,233","$88,910,467",2015
Toronto,"$71,591,189","$88,893,031",2015
Sacramento,"$70,610,560","$87,675,408",2015
Phoenix,"$68,095,365","$84,552,350",2015
Philadelphia,"$64,583,220","$80,191,403",2015
Utah,"$63,608,425","$78,981,025",2015
Orlando,"$63,199,651","$78,473,460",2015
Portland,"$61,685,814","$76,593,768",2015
Cleveland,"$128,522,489","$158,007,391",2016
Portland,"$119,732,234","$147,200,523",2016
LA Clippers,"$114,756,766","$141,083,612",2016
San Antonio,"$112,017,779","$137,716,263",2016
Memphis,"$110,083,520","$135,338,255",2016
Toronto,"$108,599,970","$133,514,359",2016
Detroit,"$106,492,988","$130,924,005",2016
Orlando,"$104,096,951","$127,978,282",2016
Washington,"$104,016,580","$127,879,474",2016
Charlotte,"$103,054,004","$126,696,067",2016
New York,"$102,593,418","$126,129,816",2016
Dallas,"$102,354,966","$125,836,657",2016
New Orleans,"$101,616,451","$124,928,717",2016
Golden State,"$101,584,835","$124,889,848",2016
Miami,"$100,740,770","$123,852,145",2016
Atlanta,"$96,315,163","$118,411,239",2016
Milwaukee,"$96,245,877","$118,326,058",2016
Sacramento,"$95,596,327","$117,527,493",2016
LA Lakers,"$94,781,848","$116,526,161",2016
Boston,"$93,465,326","$114,907,608",2016
Chicago,"$92,522,306","$113,748,249",2016
Oklahoma City,"$91,230,089","$112,159,578",2016
Houston,"$90,956,067","$111,822,691",2016
Indiana,"$90,279,072","$110,990,380",2016
Phoenix,"$89,754,590","$110,345,576",2016
Philadelphia,"$84,775,343","$104,224,013",2016
Denver,"$83,836,460","$103,069,738",2016
Minnesota,"$83,527,580","$102,689,999",2016
Brooklyn,"$82,391,482","$101,293,262",2016
Utah,"$80,138,192","$98,523,038",2016
Cleveland,"$137,722,926","$166,597,194",2017
Golden State,"$137,610,134","$166,460,754",2017
Oklahoma City,"$134,534,640","$162,740,467",2017
Miami,"$133,624,374","$161,639,360",2017
Washington,"$123,306,396","$149,158,166",2017
New Orleans,"$120,814,452","$146,143,773",2017
Milwaukee,"$120,521,249","$145,789,098",2017
Houston,"$119,905,532","$145,044,290",2017
Detroit,"$119,773,191","$144,884,208",2017
LA Clippers,"$119,093,010","$144,061,426",2017
Portland,"$118,708,146","$143,595,874",2017
Charlotte,"$117,382,664","$141,992,499",2017
Toronto,"$116,929,373","$141,444,173",2017
Minnesota,"$116,075,131","$140,410,835",2017
Boston,"$115,284,776","$139,454,775",2017
San Antonio,"$114,633,844","$138,667,375",2017
Memphis,"$110,700,149","$133,908,961",2017
Denver,"$107,543,599","$130,090,627",2017
Utah,"$105,606,838","$127,747,809",2017
New York,"$105,403,130","$127,501,394",2017
LA Lakers,"$103,126,557","$124,747,524",2017
Philadelphia,"$100,797,386","$121,930,035",2017
Atlanta,"$99,992,696","$120,956,634",2017
Sacramento,"$99,587,185","$120,466,111",2017
Orlando,"$98,700,258","$119,393,235",2017
Brooklyn,"$95,475,397","$115,492,262",2017
Indiana,"$95,271,736","$115,245,904",2017
Phoenix,"$92,684,083","$112,115,739",2017
Chicago,"$90,466,801","$109,433,589",2017
Dallas,"$85,440,245","$103,353,192",2017
Miami,"$153,171,497","$180,112,612",2018
Golden State,"$146,291,276","$172,022,240",2018
Oklahoma City,"$144,916,427","$170,405,569",2018
Toronto,"$137,793,831","$162,030,191",2018
Milwaukee,"$130,988,604","$154,028,001",2018
Portland,"$130,256,600","$153,167,248",2018
Detroit,"$126,557,932","$148,818,022",2018
Houston,"$126,474,100","$148,719,446",2018
Boston,"$125,334,993","$147,379,986",2018
Memphis,"$125,188,633","$147,207,879",2018
Washington,"$123,747,588","$145,513,371",2018
New York,"$123,387,454","$145,089,896",2018
Cleveland,"$123,255,073","$144,934,229",2018
Minnesota,"$121,962,221","$143,413,977",2018
San Antonio,"$121,588,790","$142,974,866",2018
Charlotte,"$121,427,859","$142,785,633",2018
Brooklyn,"$118,850,600","$139,755,056",2018
Denver,"$118,327,016","$139,139,384",2018
LA Clippers,"$118,026,816","$138,786,382",2018
New Orleans,"$116,052,756","$136,465,107",2018
Philadelphia,"$115,127,167","$135,376,714",2018
Orlando,"$114,394,213","$134,514,847",2018
Utah,"$113,826,156","$133,846,874",2018
Chicago,"$112,598,201","$132,402,931",2018
Indiana,"$110,724,804","$130,200,029",2018
Phoenix,"$108,692,835","$127,810,656",2018
LA Lakers,"$107,225,482","$126,085,215",2018
Sacramento,"$101,466,920","$119,313,786",2018
Dallas,"$86,958,881","$102,253,953",2018
Atlanta,"$79,180,081","$93,106,946",2018
Oklahoma City,"$132,017,938","$152,720,804",2019
Portland,"$131,979,953","$152,676,863",2019
LA Clippers,"$131,506,341","$152,128,979",2019
Cleveland,"$131,059,022","$151,611,509",2019
Philadelphia,"$129,912,339","$150,285,008",2019
Miami,"$129,867,871","$150,233,567",2019
Golden State,"$129,254,928","$149,524,506",2019
Denver,"$128,746,180","$148,935,975",2019
Houston,"$128,109,922","$148,199,940",2019
Orlando,"$126,095,610","$145,869,745",2019
LA Lakers,"$123,971,686","$143,412,750",2019
Milwaukee,"$122,612,183","$141,840,052",2019
Toronto,"$122,463,495","$141,668,046",2019
Washington,"$121,296,256","$140,317,762",2019
Dallas,"$120,871,082","$139,825,913",2019
San Antonio,"$119,217,331","$137,912,823",2019
Utah,"$118,910,311","$137,557,656",2019
Brooklyn,"$118,889,943","$137,534,093",2019
New Orleans,"$117,868,297","$136,352,236",2019
Boston,"$117,759,332","$136,226,186",2019
Minnesota,"$114,202,982","$132,112,131",2019
Sacramento,"$113,796,966","$131,642,442",2019
Indiana,"$112,872,260","$130,572,726",2019
Chicago,"$112,601,901","$130,259,969",2019
Atlanta,"$110,702,618","$128,062,845",2019
Detroit,"$104,527,576","$120,919,438",2019
New York,"$100,232,129","$115,950,387",2019
Phoenix,"$98,539,675","$113,992,525",2019
Memphis,"$98,495,848","$113,941,826",2019
Charlotte,"$96,552,033","$111,693,183",2019
Golden State,"$171,105,334","$196,667,884",2020
Brooklyn,"$170,444,633","$195,908,476",2020
Philadelphia,"$147,825,311","$169,909,902",2020
LA Clippers,"$139,722,606","$160,596,683",2020
LA Lakers,"$139,334,713","$160,150,838",2020
Utah,"$136,881,324","$157,330,923",2020
Milwaukee,"$136,623,929","$157,035,070",2020
Miami,"$134,731,235","$154,859,617",2020
New Orleans,"$133,901,495","$153,905,916",2020
Boston,"$132,931,565","$152,791,083",2020
Memphis,"$132,022,601","$151,746,320",2020
Portland,"$131,904,647","$151,610,748",2020
Houston,"$131,784,255","$151,472,362",2020
Washington,"$131,294,012","$150,908,882",2020
Minnesota,"$130,334,934","$149,806,526",2020
Indiana,"$130,237,102","$149,694,076",2020
Denver,"$129,793,210","$149,183,867",2020
Cleveland,"$129,605,319","$148,967,902",2020
San Antonio,"$129,537,825","$148,890,327",2020
Toronto,"$129,131,910","$148,423,773",2020
Chicago,"$128,963,580","$148,230,296",2020
Phoenix,"$128,858,241","$148,109,217",2020
Dallas,"$127,657,823","$146,729,462",2020
Orlando,"$121,739,163","$139,926,571",2020
Atlanta,"$118,804,016","$136,552,926",2020
Detroit,"$117,041,599","$134,527,206",2020
Charlotte,"$108,218,809","$124,386,327",2020
Sacramento,"$106,847,430","$122,810,063",2020
New York,"$102,137,151","$117,396,083",2020
Oklahoma City,"$95,774,839","$110,083,267",2020
Golden State,"$178,980,766","$195,195,980",2021
Brooklyn,"$174,811,922","$190,649,447",2021
LA Clippers,"$168,378,382","$183,633,046",2021
LA Lakers,"$164,409,293","$179,304,361",2021
Milwaukee,"$160,875,421","$175,450,332",2021
Utah,"$149,760,719","$163,328,668",2021
Philadelphia,"$148,922,969","$162,415,018",2021
Miami,"$140,840,240","$153,600,014",2021
Indiana,"$138,181,486","$150,700,383",2021
Denver,"$137,963,926","$150,463,115",2021
Minnesota,"$137,432,702","$149,883,767",2021
Boston,"$136,557,646","$148,929,426",2021
Phoenix,"$136,476,474","$148,840,901",2021
Cleveland,"$136,385,911","$148,742,131",2021
Chicago,"$136,083,814","$148,412,668",2021
New Orleans,"$135,793,968","$148,096,563",2021
Atlanta,"$135,166,020","$147,411,722",2021
Toronto,"$134,896,484","$147,117,769",2021
Houston,"$132,267,085","$144,250,150",2021
Detroit,"$131,120,355","$142,999,530",2021
Sacramento,"$130,457,848","$142,277,004",2021
Washington,"$128,019,790","$139,618,062",2021
San Antonio,"$127,655,401","$139,220,659",2021
Orlando,"$126,786,646","$138,273,195",2021
Dallas,"$126,696,965","$138,175,392",2021
Portland,"$124,788,473","$136,093,994",2021
Charlotte,"$122,139,566","$133,205,107",2021
New York,"$120,644,081","$131,574,134",2021
Memphis,"$117,284,457","$127,910,133",2021
Oklahoma City,"$82,022,873","$89,453,934",2021
LA Clippers,"$192,905,421","$192,905,421",2022
Golden State,"$192,386,134","$192,386,134",2022
Milwaukee,"$182,930,771","$182,930,771",2022
Boston,"$178,633,307","$178,633,307",2022
Dallas,"$177,244,238","$177,244,238",2022
Phoenix,"$176,042,453","$176,042,453",2022
LA Lakers,"$169,391,473","$169,391,473",2022
Denver,"$162,338,665","$162,338,665",2022
Brooklyn,"$159,566,723","$159,566,723",2022
Washington,"$152,008,934","$152,008,934",2022
Cleveland,"$151,966,241","$151,966,241",2022
Chicago,"$151,964,990","$151,964,990",2022
Miami,"$151,408,266","$151,408,266",2022
Toronto,"$150,992,313","$150,992,313",2022
Philadelphia,"$150,496,913","$150,496,913",2022
Atlanta,"$149,836,313","$149,836,313",2022
New York,"$148,987,936","$148,987,936",2022
Oklahoma City,"$148,856,338","$148,856,338",2022
Utah,"$148,738,241","$148,738,241",2022
New Orleans,"$148,360,910","$148,360,910",2022
Minnesota,"$145,793,656","$145,793,656",2022
Portland,"$144,997,250","$144,997,250",2022
Sacramento,"$139,423,615","$139,423,615",2022
Houston,"$137,579,793","$137,579,793",2022
Detroit,"$129,153,570","$129,153,570",2022
Memphis,"$127,139,520","$127,139,520",2022
Orlando,"$126,107,324","$126,107,324",2022
Charlotte,"$125,874,047","$125,874,047",2022
Indiana,"$125,706,114","$125,706,114",2022
San Antonio,"$104,545,376","$104,545,376",2022
