Player,Salary,Salary_Adj,Year
Lester Conner,"$900,000","$2,052,963",1990
Kurt Rambis,"$900,000","$2,052,963",1990
Walter Davis,"$900,000","$2,052,963",1990
Paul Pressey,"$900,000","$2,052,963",1990
Doc Rivers,"$895,000","$2,041,557",1990
James Donaldson,"$880,000","$2,007,341",1990
Dennis Rodman,"$880,000","$2,007,341",1990
Kenny Walker,"$875,000","$1,995,936",1990
Mark West,"$875,000","$1,995,936",1990
Alvin Robertson,"$870,000","$1,984,530",1990
Joe Kleine,"$850,000","$1,938,909",1990
William Bedford,"$850,000","$1,938,909",1990
Mitch Richmond,"$850,000","$1,938,909",1990
Darrell Griffith,"$850,000","$1,938,909",1990
Sidney Green,"$837,000","$1,909,255",1990
Trent Tucker,"$835,000","$1,904,693",1990
Tyrone Corbin,"$830,000","$1,893,288",1990
Michael Adams,"$825,000","$1,881,882",1990
Loy Vaught,"$825,000","$1,881,882",1990
Muggsy Bogues,"$805,000","$1,836,261",1990
Orlando Woolridge,"$805,000","$1,836,261",1990
Rumeal Robinson,"$800,000","$1,824,856",1990
Tree Rollins,"$800,000","$1,824,856",1990
Larry Smith,"$800,000","$1,824,856",1990
Travis Mays,"$800,000","$1,824,856",1990
Tom Hammonds,"$800,000","$1,824,856",1990
Tim McCormick,"$775,000","$1,767,829",1990
Vlade Divac,"$770,000","$1,756,423",1990
Reggie Theus,"$765,000","$1,745,018",1990
Scottie Pippen,"$765,000","$1,745,018",1990
Roy Tarpley,"$765,000","$1,745,018",1990
Mike Sanders,"$760,000","$1,733,613",1990
Rony Seikaly,"$755,000","$1,722,207",1990
Ed Pinckney,"$750,000","$1,710,802",1990
Chris Morris,"$750,000","$1,710,802",1990
Cliff Levingston,"$750,000","$1,710,802",1990
David Wingate,"$750,000","$1,710,802",1990
Randy White,"$730,000","$1,665,181",1990
Gerald Wilkins,"$725,000","$1,653,775",1990
Nick Anderson,"$725,000","$1,653,775",1990
Danny Ainge,"$725,000","$1,653,775",1990
Willie Anderson,"$725,000","$1,653,775",1990
Kenny Smith,"$700,000","$1,596,749",1990
Bill Wennington,"$700,000","$1,596,749",1990
Fred Roberts,"$690,000","$1,573,938",1990
Kevin Willis,"$685,000","$1,562,532",1990
Rex Chapman,"$675,000","$1,539,722",1990
Buck Johnson,"$675,000","$1,539,722",1990
Tim Perry,"$675,000","$1,539,722",1990
Charles Jones,"$675,000","$1,539,722",1990
Vern Fleming,"$667,000","$1,521,473",1990
Nate McMillan,"$658,000","$1,500,944",1990
Reggie Miller,"$654,000","$1,491,819",1990
Alexander Volkov,"$650,000","$1,482,695",1990
Dave Jamerson,"$650,000","$1,482,695",1990
Jay Humphries,"$650,000","$1,482,695",1990
Sedale Threatt,"$650,000","$1,482,695",1990
Duane Causwell,"$650,000","$1,482,695",1990
Dave Greenwood,"$650,000","$1,482,695",1990
Mike Brown,"$650,000","$1,482,695",1990
Chucky Brown,"$630,000","$1,437,074",1990
Mychal Thompson,"$615,000","$1,402,858",1990
Pooh Richardson,"$615,000","$1,402,858",1990
Antoine Carr,"$610,000","$1,391,452",1990
Darrell Walker,"$610,000","$1,391,452",1990
Jeff Grayer,"$605,000","$1,380,047",1990
Larry Krystkowiak,"$605,000","$1,380,047",1990
Ledell Eackles,"$605,000","$1,380,047",1990
Terry Mills,"$600,000","$1,368,642",1990
Craig Hodges,"$600,000","$1,368,642",1990
Brad Davis,"$600,000","$1,368,642",1990
Olden Polynice,"$600,000","$1,368,642",1990
Andrew Lang,"$600,000","$1,368,642",1990
John Battle,"$590,000","$1,345,831",1990
Tod Murphy,"$590,000","$1,345,831",1990
John Salley,"$575,000","$1,311,615",1990
Elden Campbell,"$575,000","$1,311,615",1990
Gerald Glass,"$575,000","$1,311,615",1990
Todd Lichti,"$565,000","$1,288,804",1990
Jerrod Mustaf,"$565,000","$1,288,804",1990
John Bagley,"$550,000","$1,254,588",1990
Larry Drew,"$550,000","$1,254,588",1990
Terry Teagle,"$550,000","$1,254,588",1990
Ed Nealy,"$550,000","$1,254,588",1990
Jerome Kersey,"$550,000","$1,254,588",1990
Bob Hansen,"$550,000","$1,254,588",1990
Steve Kerr,"$548,000","$1,250,026",1990
Dee Brown,"$547,000","$1,247,745",1990
Gary Grant,"$530,000","$1,208,967",1990
Michael Smith,"$525,000","$1,197,561",1990
Mookie Blaylock,"$525,000","$1,197,561",1990
Derrick Chievous,"$525,000","$1,197,561",1990
Winston Bennett,"$525,000","$1,197,561",1990
Dwayne Schintzius,"$520,000","$1,186,156",1990
Sidney Moncrief,"$510,000","$1,163,345",1990
Spud Webb,"$510,000","$1,163,345",1990
Bill Hanzlik,"$510,000","$1,163,345",1990
Les Jepsen,"$505,000","$1,151,940",1990
Jerome Lane,"$500,000","$1,140,535",1990
Tim Hardaway,"$500,000","$1,140,535",1990
Rod Higgins,"$500,000","$1,140,535",1990
Randy Wittman,"$500,000","$1,140,535",1990
Sam Mitchell,"$500,000","$1,140,535",1990
Dana Barros,"$500,000","$1,140,535",1990
Jayson Williams,"$500,000","$1,140,535",1990
Mark Alarie,"$500,000","$1,140,535",1990
Eric Leckner,"$485,000","$1,106,318",1990
Greg Kite,"$480,000","$1,094,913",1990
Harvey Grant,"$475,000","$1,083,508",1990
Negele Knight,"$468,000","$1,067,540",1990
Brian Oliver,"$455,000","$1,037,886",1990
Will Perdue,"$450,000","$1,026,481",1990
Scott Hastings,"$450,000","$1,026,481",1990
Winston Garland,"$450,000","$1,026,481",1990
Jerry Reynolds,"$450,000","$1,026,481",1990
Otis Smith,"$450,000","$1,026,481",1990
Danny Young,"$450,000","$1,026,481",1990
Mark Acres,"$437,000","$996,827",1990
Dan Majerle,"$430,000","$980,860",1990
BJ Armstrong,"$425,000","$969,454",1990
Kevin Edwards,"$425,000","$969,454",1990
Quintin Dailey,"$425,000","$969,454",1990
Ron Anderson,"$425,000","$969,454",1990
Tate George,"$410,000","$935,238",1990
Jeff Turner,"$410,000","$935,238",1990
Scott Skiles,"$408,000","$930,676",1990
Tom Tolbert,"$405,000","$923,833",1990
Mark Bryant,"$405,000","$923,833",1990
Reggie Lewis,"$400,000","$912,428",1990
Ken Bannister,"$400,000","$912,428",1990
Billy Thompson,"$400,000","$912,428",1990
Adrian Dantley,"$400,000","$912,428",1990
Eddie Lee Wilkins,"$400,000","$912,428",1990
Dave Hoppen,"$400,000","$912,428",1990
Kenny Payne,"$400,000","$912,428",1990
Rod Strickland,"$400,000","$912,428",1990
Alaa Abdelnaby,"$395,000","$901,022",1990
John Paxson,"$385,000","$878,211",1990
Kevin Gamble,"$375,000","$855,401",1990
Byron Irvin,"$375,000","$855,401",1990
Anthony Cook,"$370,000","$843,995",1990
Lance Blanks,"$365,000","$832,590",1990
Jack Haley,"$360,000","$821,185",1990
Brian Quinnett,"$360,000","$821,185",1990
Blue Edwards,"$360,000","$821,185",1990
Kenny Gattison,"$355,000","$809,779",1990
John Morton,"$350,000","$798,374",1990
Kenny Battle,"$350,000","$798,374",1990
Shawn Kemp,"$350,000","$798,374",1990
Joe Barry Carroll,"$350,000","$798,374",1990
Morlon Wiley,"$347,000","$791,531",1990
Tom Garrick,"$340,000","$775,563",1990
Jon Sundvold,"$335,000","$764,158",1990
Bob Thornton,"$335,000","$764,158",1990
Micheal Williams,"$325,000","$741,347",1990
Mike Smrek,"$325,000","$741,347",1990
Sherman Douglas,"$325,000","$741,347",1990
Randolph Keys,"$322,000","$734,504",1990
Derek Smith,"$315,000","$718,537",1990
David Wood,"$300,000","$684,321",1990
Greg Dreiling,"$300,000","$684,321",1990
Grant Long,"$300,000","$684,321",1990
Greg Grant,"$300,000","$684,321",1990
Dave Corzine,"$300,000","$684,321",1990
Scott Meents,"$300,000","$684,321",1990
Rory Sparrow,"$300,000","$684,321",1990
Steve Colter,"$300,000","$684,321",1990
Scott Brooks,"$295,000","$672,915",1990
Bimbo Coles,"$290,000","$661,510",1990
Adrian Caldwell,"$275,000","$627,294",1990
Dave Feitl,"$275,000","$627,294",1990
A.J. English,"$275,000","$627,294",1990
Greg Foster,"$275,000","$627,294",1990
Steve Alford,"$250,000","$570,267",1990
Vernon Maxwell,"$250,000","$570,267",1990
Terry Davis,"$250,000","$570,267",1990
Cliff Robinson,"$250,000","$570,267",1990
Doug West,"$230,000","$524,646",1990
Jud Buechler,"$225,000","$513,240",1990
Frank Kornet,"$225,000","$513,240",1990
Walter Palmer,"$225,000","$513,240",1990
Stojko Vrankovic,"$222,000","$506,397",1990
Delaney Rudd,"$215,000","$490,430",1990
Marcus Liberty,"$210,000","$479,024",1990
Jeff Martin,"$210,000","$479,024",1990
